astraweave-physics/src/async_scheduler.rs:109:9: replace AsyncPhysicsScheduler::with_threads -> Self with Default::default()
astraweave-physics/src/async_scheduler.rs:110:13: delete field thread_count from struct Self expression in AsyncPhysicsScheduler::with_threads
astraweave-physics/src/async_scheduler.rs:117:9: replace AsyncPhysicsScheduler::get_last_profile -> PhysicsStepProfile with Default::default()
astraweave-physics/src/async_scheduler.rs:123:12: delete ! in AsyncPhysicsScheduler::record_step_telemetry
astraweave-physics/src/async_scheduler.rs:123:9: replace AsyncPhysicsScheduler::record_step_telemetry with ()
astraweave-physics/src/async_scheduler.rs:146:9: replace AsyncPhysicsScheduler::step_parallel -> PhysicsStepProfile with Default::default()
astraweave-physics/src/async_scheduler.rs:151:13: delete field total_duration from struct PhysicsStepProfile expression in AsyncPhysicsScheduler::step_parallel
astraweave-physics/src/async_scheduler.rs:222:9: replace AsyncPhysicsScheduler::step_parallel_staged -> PhysicsStepProfile with Default::default()
astraweave-physics/src/async_scheduler.rs:246:13: delete field total_duration from struct PhysicsStepProfile expression in AsyncPhysicsScheduler::step_parallel_staged
astraweave-physics/src/async_scheduler.rs:247:13: delete field broad_phase_duration from struct PhysicsStepProfile expression in AsyncPhysicsScheduler::step_parallel_staged
astraweave-physics/src/async_scheduler.rs:248:13: delete field narrow_phase_duration from struct PhysicsStepProfile expression in AsyncPhysicsScheduler::step_parallel_staged
astraweave-physics/src/async_scheduler.rs:249:13: delete field integration_duration from struct PhysicsStepProfile expression in AsyncPhysicsScheduler::step_parallel_staged
astraweave-physics/src/async_scheduler.rs:278:9: replace AsyncPhysicsScheduler::step_parallel_staged_with_stats -> PhysicsStepProfile with Default::default()
astraweave-physics/src/async_scheduler.rs:293:9: replace AsyncPhysicsScheduler::export_telemetry -> anyhow::Result<()> with Ok(())
astraweave-physics/src/async_scheduler.rs:319:9: replace parallel::par_process_bodies -> Vec<T> with vec![]
astraweave-physics/src/async_scheduler.rs:319:9: replace parallel::par_process_bodies -> Vec<T> with vec![Default::default()]
astraweave-physics/src/async_scheduler.rs:330:9: replace parallel::par_process_collision_pairs with ()
astraweave-physics/src/async_scheduler.rs:50:43: replace == with != in PhysicsStepProfile::broad_phase_percent
astraweave-physics/src/async_scheduler.rs:50:9: replace PhysicsStepProfile::broad_phase_percent -> f32 with -1.0
astraweave-physics/src/async_scheduler.rs:50:9: replace PhysicsStepProfile::broad_phase_percent -> f32 with 0.0
astraweave-physics/src/async_scheduler.rs:50:9: replace PhysicsStepProfile::broad_phase_percent -> f32 with 1.0
astraweave-physics/src/async_scheduler.rs:53:54: replace / with * in PhysicsStepProfile::broad_phase_percent
astraweave-physics/src/async_scheduler.rs:53:54: replace / with % in PhysicsStepProfile::broad_phase_percent
astraweave-physics/src/async_scheduler.rs:54:13: replace * with / in PhysicsStepProfile::broad_phase_percent
astraweave-physics/src/async_scheduler.rs:54:13: replace * with + in PhysicsStepProfile::broad_phase_percent
astraweave-physics/src/async_scheduler.rs:59:43: replace == with != in PhysicsStepProfile::narrow_phase_percent
astraweave-physics/src/async_scheduler.rs:59:9: replace PhysicsStepProfile::narrow_phase_percent -> f32 with -1.0
astraweave-physics/src/async_scheduler.rs:59:9: replace PhysicsStepProfile::narrow_phase_percent -> f32 with 0.0
astraweave-physics/src/async_scheduler.rs:59:9: replace PhysicsStepProfile::narrow_phase_percent -> f32 with 1.0
astraweave-physics/src/async_scheduler.rs:62:55: replace / with * in PhysicsStepProfile::narrow_phase_percent
astraweave-physics/src/async_scheduler.rs:62:55: replace / with % in PhysicsStepProfile::narrow_phase_percent
astraweave-physics/src/async_scheduler.rs:63:13: replace * with / in PhysicsStepProfile::narrow_phase_percent
astraweave-physics/src/async_scheduler.rs:63:13: replace * with + in PhysicsStepProfile::narrow_phase_percent
astraweave-physics/src/async_scheduler.rs:68:43: replace == with != in PhysicsStepProfile::integration_percent
astraweave-physics/src/async_scheduler.rs:68:9: replace PhysicsStepProfile::integration_percent -> f32 with -1.0
astraweave-physics/src/async_scheduler.rs:68:9: replace PhysicsStepProfile::integration_percent -> f32 with 0.0
astraweave-physics/src/async_scheduler.rs:68:9: replace PhysicsStepProfile::integration_percent -> f32 with 1.0
astraweave-physics/src/async_scheduler.rs:71:54: replace / with * in PhysicsStepProfile::integration_percent
astraweave-physics/src/async_scheduler.rs:71:54: replace / with % in PhysicsStepProfile::integration_percent
astraweave-physics/src/async_scheduler.rs:72:13: replace * with / in PhysicsStepProfile::integration_percent
astraweave-physics/src/async_scheduler.rs:72:13: replace * with + in PhysicsStepProfile::integration_percent
astraweave-physics/src/cloth.rs:111:27: replace < with <= in DistanceConstraint::solve
astraweave-physics/src/cloth.rs:116:45: replace * with / in DistanceConstraint::solve
astraweave-physics/src/cloth.rs:120:31: replace + with * in DistanceConstraint::solve
astraweave-physics/src/cloth.rs:122:25: replace > with >= in DistanceConstraint::solve
astraweave-physics/src/cloth.rs:123:16: delete ! in DistanceConstraint::solve
astraweave-physics/src/cloth.rs:124:59: replace * with / in DistanceConstraint::solve
astraweave-physics/src/cloth.rs:127:59: replace * with / in DistanceConstraint::solve
astraweave-physics/src/cloth.rs:158:53: replace - with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:161:25: replace < with <= in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:163:46: replace - with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:163:46: replace - with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:164:49: replace * with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:164:49: replace * with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:168:59: replace * with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:168:59: replace * with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:169:48: replace - with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:169:48: replace - with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:171:43: replace - with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:171:43: replace - with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:171:57: replace + with - in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:171:57: replace + with * in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:171:71: replace * with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:171:71: replace * with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:171:78: replace - with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:171:78: replace - with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:175:32: replace - with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:177:32: replace < with <= in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:188:53: replace - with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:190:48: replace * with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:195:25: replace < with <= in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:197:46: replace - with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:197:46: replace - with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:198:49: replace * with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:198:49: replace * with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:201:59: replace * with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:201:59: replace * with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:202:48: replace - with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:202:48: replace - with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:204:43: replace - with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:204:43: replace - with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:204:57: replace + with - in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:204:57: replace + with * in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:204:71: replace * with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:204:71: replace * with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:204:78: replace - with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:204:78: replace - with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:208:53: replace - with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:211:25: replace < with <= in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:212:39: replace -= with /= in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:212:49: replace * with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:215:59: replace * with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:215:59: replace * with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:216:48: replace - with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:216:48: replace - with + in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:218:43: replace - with / in ClothCollider::resolve_collision
astraweave-physics/src/cloth.rs:218:43: replace - with + in ClothCollider::resolve_collision
