Found 211 mutants to test
ok       Unmutated baseline in 55s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:936:67: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:936:60: replace * with + in VehicleManager::apply_forces in 30s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:936:60: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:939:60: replace + with * in VehicleManager::apply_forces in 7s build + 1s test
MISSED   astraweave-physics/src/vehicle.rs:939:53: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:939:53: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:939:73: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:939:73: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:942:60: replace + with - in VehicleManager::apply_forces in 27s build + 1s test
MISSED   astraweave-physics/src/vehicle.rs:942:60: replace + with * in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:942:53: replace * with + in VehicleManager::apply_forces in 9s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:942:53: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:942:82: replace * with + in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/vehicle.rs:942:82: replace * with / in VehicleManager::apply_forces in 7s build + 2s test
MISSED   astraweave-physics/src/environment.rs:162:54: replace - with + in WindZone::wind_force_at in 8s build + 1s test
MISSED   astraweave-physics/src/environment.rs:166:25: replace < with <= in WindZone::wind_force_at in 7s build + 1s test
MISSED   astraweave-physics/src/environment.rs:170:45: delete - in WindZone::wind_force_at in 6s build + 2s test
MISSED   astraweave-physics/src/environment.rs:171:46: replace * with + in WindZone::wind_force_at in 7s build + 2s test
MISSED   astraweave-physics/src/environment.rs:174:57: replace * with + in WindZone::wind_force_at in 7s build + 2s test
MISSED   astraweave-physics/src/environment.rs:177:41: replace + with - in WindZone::wind_force_at in 7s build + 1s test
MISSED   astraweave-physics/src/environment.rs:177:41: replace + with * in WindZone::wind_force_at in 6s build + 2s test
MISSED   astraweave-physics/src/environment.rs:177:32: replace + with - in WindZone::wind_force_at in 6s build + 2s test
MISSED   astraweave-physics/src/environment.rs:181:70: replace * with + in WindZone::wind_force_at in 6s build + 1s test
MISSED   astraweave-physics/src/environment.rs:181:70: replace * with / in WindZone::wind_force_at in 6s build + 2s test
MISSED   astraweave-physics/src/environment.rs:182:22: replace + with - in WindZone::wind_force_at in 19s build + 2s test
MISSED   astraweave-physics/src/environment.rs:182:22: replace + with * in WindZone::wind_force_at in 7s build + 3s test
MISSED   astraweave-physics/src/environment.rs:182:41: replace * with + in WindZone::wind_force_at in 7s build + 2s test
MISSED   astraweave-physics/src/environment.rs:182:41: replace * with / in WindZone::wind_force_at in 6s build + 2s test
MISSED   astraweave-physics/src/environment.rs:192:18: replace < with <= in WindZone::wind_force_at in 6s build + 2s test
MISSED   astraweave-physics/src/environment.rs:209:36: replace - with + in WindZone::calculate_falloff in 30s build + 2s test
MISSED   astraweave-physics/src/environment.rs:213:56: replace - with + in WindZone::calculate_falloff in 7s build + 2s test
MISSED   astraweave-physics/src/environment.rs:215:35: replace - with + in WindZone::calculate_falloff in 7s build + 2s test
MISSED   astraweave-physics/src/environment.rs:222:32: replace * with / in WindZone::calculate_falloff in 7s build + 2s test
MISSED   astraweave-physics/src/environment.rs:232:35: replace * with / in WindZone::update in 7s build + 2s test
MISSED   astraweave-physics/src/environment.rs:276:43: replace > with >= in GustEvent::current_strength in 7s build + 2s test
MISSED   astraweave-physics/src/environment.rs:353:32: replace > with >= in WaterVolume::surface_height_at in 7s build + 2s test
211 mutants tested in 40m: 36 missed, 174 caught, 1 unviable
