Found 3682 mutants to test
ok       Unmutated baseline in 1s build + 81s test
MISSED   astraweave-render/src/camera.rs:17:46: delete - in Camera::view_matrix in 52s build + 93s test
MISSED   astraweave-render/src/camera.rs:34:35: replace * with / in Camera::dir in 49s build + 99s test
MISSED   astraweave-render/src/camera.rs:118:13: delete match arm winit::keyboard::KeyCode::Space | winit::keyboard::KeyCode::KeyE in CameraController::process_keyboard in 52s build + 93s test
MISSED   astraweave-render/src/camera.rs:120:13: delete match arm winit::keyboard::KeyCode::KeyQ | winit::keyboard::KeyCode::KeyC in CameraController::process_keyboard in 44s build + 99s test
MISSED   astraweave-render/src/camera.rs:135:16: delete ! in CameraController::process_mouse_button in 48s build + 95s test
MISSED   astraweave-render/src/camera.rs:142:9: replace CameraController::process_mouse_move with () in 52s build + 96s test
MISSED   astraweave-render/src/camera.rs:148:42: replace * with + in CameraController::process_mouse_move in 52s build + 94s test
MISSED   astraweave-render/src/camera.rs:148:42: replace * with / in CameraController::process_mouse_move in 54s build + 111s test
MISSED   astraweave-render/src/camera.rs:148:34: replace - with + in CameraController::process_mouse_move in 43s build + 113s test
TIMEOUT  astraweave-render/src/camera.rs:148:34: replace - with / in CameraController::process_mouse_move in 55s build + 120s test
MISSED   astraweave-render/src/camera.rs:150:20: delete ! in CameraController::process_mouse_move in 79s build + 112s test
MISSED   astraweave-render/src/camera.rs:155:33: replace -= with += in CameraController::process_mouse_move in 52s build + 111s test
MISSED   astraweave-render/src/camera.rs:155:33: replace -= with /= in CameraController::process_mouse_move in 53s build + 110s test
MISSED   astraweave-render/src/camera.rs:156:56: replace - with + in CameraController::process_mouse_move in 55s build + 112s test
MISSED   astraweave-render/src/camera.rs:156:56: replace - with / in CameraController::process_mouse_move in 45s build + 116s test
MISSED   astraweave-render/src/camera.rs:156:73: delete - in CameraController::process_mouse_move in 51s build + 110s test
MISSED   astraweave-render/src/camera.rs:165:52: replace && with || in CameraController::process_mouse_delta in 51s build + 113s test
MISSED   astraweave-render/src/camera.rs:165:30: replace < with == in CameraController::process_mouse_delta in 51s build + 111s test
MISSED   astraweave-render/src/camera.rs:165:30: replace < with > in CameraController::process_mouse_delta in 51s build + 111s test
MISSED   astraweave-render/src/camera.rs:165:30: replace < with <= in CameraController::process_mouse_delta in 53s build + 114s test
MISSED   astraweave-render/src/camera.rs:165:69: replace < with == in CameraController::process_mouse_delta in 52s build + 110s test
MISSED   astraweave-render/src/camera.rs:165:69: replace < with > in CameraController::process_mouse_delta in 52s build + 110s test
MISSED   astraweave-render/src/camera.rs:165:69: replace < with <= in CameraController::process_mouse_delta in 44s build + 110s test
MISSED   astraweave-render/src/camera.rs:168:38: replace * with + in CameraController::process_mouse_delta in 51s build + 108s test
