Found 3682 mutants to test
ok       Unmutated baseline in 113s build + 96s test
MISSED   astraweave-render/src/camera.rs:17:46: delete - in Camera::view_matrix in 43s build + 101s test
MISSED   astraweave-render/src/camera.rs:34:35: replace * with / in Camera::dir in 45s build + 92s test
MISSED   astraweave-render/src/camera.rs:118:13: delete match arm winit::keyboard::KeyCode::Space | winit::keyboard::KeyCode::KeyE in CameraController::process_keyboard in 45s build + 98s test
MISSED   astraweave-render/src/camera.rs:120:13: delete match arm winit::keyboard::KeyCode::KeyQ | winit::keyboard::KeyCode::KeyC in CameraController::process_keyboard in 58s build + 103s test
MISSED   astraweave-render/src/camera.rs:135:16: delete ! in CameraController::process_mouse_button in 52s build + 105s test
MISSED   astraweave-render/src/camera.rs:142:9: replace CameraController::process_mouse_move with () in 82s build + 95s test
MISSED   astraweave-render/src/camera.rs:148:42: replace * with + in CameraController::process_mouse_move in 58s build + 101s test
MISSED   astraweave-render/src/camera.rs:148:42: replace * with / in CameraController::process_mouse_move in 57s build + 106s test
MISSED   astraweave-render/src/camera.rs:148:34: replace - with + in CameraController::process_mouse_move in 57s build + 100s test
MISSED   astraweave-render/src/camera.rs:148:34: replace - with / in CameraController::process_mouse_move in 58s build + 100s test
MISSED   astraweave-render/src/camera.rs:150:20: delete ! in CameraController::process_mouse_move in 58s build + 101s test
MISSED   astraweave-render/src/camera.rs:155:33: replace -= with += in CameraController::process_mouse_move in 56s build + 103s test
MISSED   astraweave-render/src/camera.rs:155:33: replace -= with /= in CameraController::process_mouse_move in 65s build + 118s test
MISSED   astraweave-render/src/camera.rs:156:56: replace - with + in CameraController::process_mouse_move in 58s build + 101s test
MISSED   astraweave-render/src/camera.rs:156:56: replace - with / in CameraController::process_mouse_move in 51s build + 101s test
MISSED   astraweave-render/src/camera.rs:156:73: delete - in CameraController::process_mouse_move in 57s build + 102s test
MISSED   astraweave-render/src/camera.rs:165:52: replace && with || in CameraController::process_mouse_delta in 45s build + 90s test
MISSED   astraweave-render/src/camera.rs:165:30: replace < with == in CameraController::process_mouse_delta in 58s build + 111s test
MISSED   astraweave-render/src/camera.rs:165:30: replace < with > in CameraController::process_mouse_delta in 57s build + 107s test
MISSED   astraweave-render/src/camera.rs:165:30: replace < with <= in CameraController::process_mouse_delta in 57s build + 103s test
MISSED   astraweave-render/src/camera.rs:165:69: replace < with == in CameraController::process_mouse_delta in 60s build + 100s test
TIMEOUT  astraweave-render/src/camera.rs:165:69: replace < with > in CameraController::process_mouse_delta in 59s build + 120s test
MISSED   astraweave-render/src/camera.rs:165:69: replace < with <= in CameraController::process_mouse_delta in 60s build + 102s test
MISSED   astraweave-render/src/camera.rs:168:38: replace * with + in CameraController::process_mouse_delta in 57s build + 105s test
MISSED   astraweave-render/src/camera.rs:168:38: replace * with / in CameraController::process_mouse_delta in 57s build + 106s test
MISSED   astraweave-render/src/camera.rs:169:16: delete ! in CameraController::process_mouse_delta in 59s build + 101s test
MISSED   astraweave-render/src/camera.rs:182:9: replace CameraController::begin_frame with () in 44s build + 100s test
MISSED   astraweave-render/src/camera.rs:189:39: replace * with + in CameraController::process_scroll in 43s build + 101s test
MISSED   astraweave-render/src/camera.rs:189:39: replace * with / in CameraController::process_scroll in 57s build + 111s test
MISSED   astraweave-render/src/camera.rs:194:60: replace - with / in CameraController::process_scroll in 44s build + 99s test
MISSED   astraweave-render/src/camera.rs:194:68: replace * with + in CameraController::process_scroll in 59s build + 110s test
MISSED   astraweave-render/src/camera.rs:194:68: replace * with / in CameraController::process_scroll in 57s build + 104s test
MISSED   astraweave-render/src/camera.rs:206:53: replace + with - in CameraController::toggle_mode in 47s build + 99s test
MISSED   astraweave-render/src/camera.rs:206:64: replace * with + in CameraController::toggle_mode in 45s build + 101s test
MISSED   astraweave-render/src/camera.rs:206:64: replace * with / in CameraController::toggle_mode in 60s build + 112s test
MISSED   astraweave-render/src/camera.rs:224:45: replace - with + in CameraController::update_orbit_position in 42s build + 100s test
MISSED   astraweave-render/src/camera.rs:224:45: replace - with / in CameraController::update_orbit_position in 56s build + 114s test
MISSED   astraweave-render/src/camera.rs:224:51: replace * with + in CameraController::update_orbit_position in 59s build + 103s test
MISSED   astraweave-render/src/camera.rs:224:51: replace * with / in CameraController::update_orbit_position in 55s build + 109s test
MISSED   astraweave-render/src/camera.rs:236:21: replace - with + in CameraController::update_camera in 42s build + 103s test
MISSED   astraweave-render/src/camera.rs:236:21: replace - with / in CameraController::update_camera in 57s build + 109s test
MISSED   astraweave-render/src/camera.rs:236:43: replace * with + in CameraController::update_camera in 58s build + 109s test
MISSED   astraweave-render/src/camera.rs:236:43: replace * with / in CameraController::update_camera in 58s build + 104s test
MISSED   astraweave-render/src/camera.rs:237:66: replace * with / in CameraController::update_camera in 44s build + 105s test
MISSED   astraweave-render/src/camera.rs:237:52: replace - with + in CameraController::update_camera in 57s build + 102s test
MISSED   astraweave-render/src/camera.rs:238:75: replace * with / in CameraController::update_camera in 43s build + 100s test
MISSED   astraweave-render/src/camera.rs:238:59: replace - with + in CameraController::update_camera in 60s build + 101s test
MISSED   astraweave-render/src/camera.rs:243:23: replace *= with += in CameraController::update_camera in 45s build + 98s test
MISSED   astraweave-render/src/camera.rs:253:39: delete - in CameraController::update_camera in 46s build + 97s test
MISSED   astraweave-render/src/camera.rs:254:26: delete - in CameraController::update_camera in 56s build + 108s test
MISSED   astraweave-render/src/camera.rs:257:21: replace += with -= in CameraController::update_camera in 63s build + 105s test
MISSED   astraweave-render/src/camera.rs:257:28: replace * with + in CameraController::update_camera in 65s build + 98s test
