astraweave-terrain/src/lib.rs:182:36: replace == with != in WorldGenerator::scatter_chunk_content
astraweave-terrain/src/lib.rs:190:52: replace * with + in WorldGenerator::scatter_chunk_content
astraweave-terrain/src/lib.rs:281:36: replace + with - in WorldGenerator::stream_chunks
astraweave-terrain/src/lib.rs:312:22: replace > with < in WorldGenerator::find_best_biome
astraweave-terrain/src/advanced_erosion.rs:172:17: delete field talus_angle from struct ThermalErosionConfig expression in ErosionPreset::mountain
astraweave-terrain/src/advanced_erosion.rs:187:17: delete field evaporation_rate from struct HydraulicErosionConfig expression in ErosionPreset::coastal
astraweave-terrain/src/advanced_erosion.rs:296:18: delete - in AdvancedErosionSimulator::init_erosion_brush
astraweave-terrain/src/advanced_erosion.rs:298:34: replace * with + in AdvancedErosionSimulator::init_erosion_brush
astraweave-terrain/src/advanced_erosion.rs:299:38: replace * with / in AdvancedErosionSimulator::init_erosion_brush
astraweave-terrain/src/advanced_erosion.rs:300:32: replace += with *= in AdvancedErosionSimulator::init_erosion_brush
astraweave-terrain/src/advanced_erosion.rs:306:48: replace % with / in AdvancedErosionSimulator::init_erosion_brush
astraweave-terrain/src/advanced_erosion.rs:311:44: replace + with * in AdvancedErosionSimulator::init_erosion_brush
astraweave-terrain/src/advanced_erosion.rs:311:49: replace * with + in AdvancedErosionSimulator::init_erosion_brush
astraweave-terrain/src/advanced_erosion.rs:312:42: replace * with + in AdvancedErosionSimulator::init_erosion_brush
astraweave-terrain/src/advanced_erosion.rs:321:47: replace - with + in AdvancedErosionSimulator::init_erosion_brush
astraweave-terrain/src/advanced_erosion.rs:351:44: replace * with + in AdvancedErosionSimulator::apply_hydraulic_erosion
astraweave-terrain/src/advanced_erosion.rs:351:44: replace * with / in AdvancedErosionSimulator::apply_hydraulic_erosion
astraweave-terrain/src/advanced_erosion.rs:352:58: replace - with / in AdvancedErosionSimulator::apply_hydraulic_erosion
astraweave-terrain/src/advanced_erosion.rs:375:43: replace * with / in AdvancedErosionSimulator::apply_hydraulic_erosion
astraweave-terrain/src/advanced_erosion.rs:380:50: replace * with / in AdvancedErosionSimulator::apply_hydraulic_erosion
astraweave-terrain/src/advanced_erosion.rs:389:49: replace - with + in AdvancedErosionSimulator::apply_hydraulic_erosion
astraweave-terrain/src/advanced_erosion.rs:390:34: replace < with <= in AdvancedErosionSimulator::apply_hydraulic_erosion
astraweave-terrain/src/advanced_erosion.rs:391:34: replace >= with < in AdvancedErosionSimulator::apply_hydraulic_erosion
astraweave-terrain/src/advanced_erosion.rs:393:47: replace += with *= in AdvancedErosionSimulator::apply_hydraulic_erosion
astraweave-terrain/src/advanced_erosion.rs:410:73: replace > with == in AdvancedErosionSimulator::apply_hydraulic_erosion
astraweave-terrain/src/advanced_erosion.rs:412:61: replace > with < in AdvancedErosionSimulator::apply_hydraulic_erosion
astraweave-terrain/src/advanced_erosion.rs:415:43: replace - with / in AdvancedErosionSimulator::apply_hydraulic_erosion
astraweave-terrain/src/advanced_erosion.rs:418:38: replace -= with += in AdvancedErosionSimulator::apply_hydraulic_erosion
astraweave-terrain/src/advanced_erosion.rs:433:63: replace - with + in AdvancedErosionSimulator::apply_hydraulic_erosion
astraweave-terrain/src/advanced_erosion.rs:451:46: replace += with *= in AdvancedErosionSimulator::apply_hydraulic_erosion
astraweave-terrain/src/advanced_erosion.rs:460:42: replace * with + in AdvancedErosionSimulator::apply_hydraulic_erosion
astraweave-terrain/src/advanced_erosion.rs:469:28: replace += with *= in AdvancedErosionSimulator::apply_hydraulic_erosion
astraweave-terrain/src/advanced_erosion.rs:485:41: replace * with + in AdvancedErosionSimulator::apply_thermal_erosion
astraweave-terrain/src/advanced_erosion.rs:521:41: replace * with + in AdvancedErosionSimulator::apply_thermal_erosion
astraweave-terrain/src/advanced_erosion.rs:521:41: replace * with / in AdvancedErosionSimulator::apply_thermal_erosion
astraweave-terrain/src/advanced_erosion.rs:528:63: replace - with / in AdvancedErosionSimulator::apply_thermal_erosion
astraweave-terrain/src/advanced_erosion.rs:540:51: replace / with % in AdvancedErosionSimulator::apply_thermal_erosion
astraweave-terrain/src/advanced_erosion.rs:552:34: replace += with -= in AdvancedErosionSimulator::apply_thermal_erosion
