[BRUSH-DBG] engine-adapter-id: site=render_to_texture, adapter_ptr=0x489943a3020, terrain_chunks_len=0, terrain_clusters_len=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=0, drawn_models=0, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=96, drawn_models=39, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=96, drawn_models=39, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=96, drawn_models=39, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=96, drawn_models=39, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=96, drawn_models=39, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=96, drawn_models=39, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=96, drawn_models=39, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=96, drawn_models=39, terrain_cluster_models=0
[BRUSH-DBG] terrain-render-source: models_total=96, drawn_models=39, terrain_cluster_models=0
