Filename                                          Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
astraweave-behavior\src\goap_cache.rs                   6                 6     0.00%           3                 3     0.00%           3                 3     0.00%           0                 0         -
astraweave-core\src\capture_replay.rs                  62                62     0.00%           4                 4     0.00%          35                35     0.00%           0                 0         -
astraweave-core\src\ecs_adapter.rs                      4                 4     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
astraweave-core\src\ecs_components.rs                  21                21     0.00%           3                 3     0.00%          13                13     0.00%           0                 0         -
astraweave-core\src\lib.rs                             39                 0   100.00%           1                 0   100.00%          34                 0   100.00%           0                 0         -
astraweave-core\src\metrics.rs                        112                64    42.86%          15                 8    46.67%          61                31    49.18%           0                 0         -
astraweave-core\src\perception.rs                      26                26     0.00%           2                 2     0.00%          15                15     0.00%           0                 0         -
astraweave-core\src\schema.rs                          77                62    19.48%          13                10    23.08%          98                71    27.55%           0                 0         -
astraweave-core\src\sim.rs                              5                 5     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
astraweave-core\src\tool_vocabulary.rs                821                32    96.10%           5                 2    60.00%         656                20    96.95%           0                 0         -
astraweave-core\src\world.rs                          217               217     0.00%          29                29     0.00%         144               144     0.00%           0                 0         -
astraweave-ecs\src\archetype.rs                       250               250     0.00%          30                30     0.00%         163               163     0.00%           0                 0         -
astraweave-ecs\src\blob_vec.rs                        207               207     0.00%          16                16     0.00%         134               134     0.00%           0                 0         -
astraweave-ecs\src\command_buffer.rs                   27                27     0.00%           4                 4     0.00%          23                23     0.00%           0                 0         -
astraweave-ecs\src\entity_allocator.rs                122               122     0.00%          23                23     0.00%         114               114     0.00%           0                 0         -
astraweave-ecs\src\events.rs                          119               119     0.00%          22                22     0.00%          90                90     0.00%           0                 0         -
astraweave-ecs\src\lib.rs                             404               404     0.00%          36                36     0.00%         271               271     0.00%           0                 0         -
astraweave-ecs\src\rng.rs                              35                35     0.00%           7                 7     0.00%          29                29     0.00%           0                 0         -
astraweave-ecs\src\sparse_set.rs                      240               240     0.00%          31                31     0.00%         154               154     0.00%           0                 0         -
astraweave-ecs\src\system_param.rs                    173               173     0.00%           8                 8     0.00%         133               133     0.00%           0                 0         -
astraweave-ecs\src\type_registry.rs                    80                80     0.00%           9                 9     0.00%          65                65     0.00%           0                 0         -
astraweave-llm\src\ab_testing.rs                     1505                83    94.49%         110                 3    97.27%         974                66    93.22%           0                 0         -
astraweave-llm\src\backpressure.rs                   1332               146    89.04%         110                 4    96.36%         979                91    90.70%           0                 0         -
astraweave-llm\src\batch_executor.rs                  666                47    92.94%          47                 6    87.23%         419                33    92.12%           0                 0         -
astraweave-llm\src\cache\key.rs                       258                 7    97.29%          17                 1    94.12%         153                 9    94.12%           0                 0         -
astraweave-llm\src\cache\lru.rs                       259                 1    99.61%          15                 0   100.00%         148                 0   100.00%           0                 0         -
astraweave-llm\src\cache\mod.rs                       311                42    86.50%          14                 3    78.57%         184                24    86.96%           0                 0         -
astraweave-llm\src\cache\similarity.rs                253                 8    96.84%          22                 0   100.00%         117                 3    97.44%           0                 0         -
astraweave-llm\src\circuit_breaker.rs                 909                68    92.52%         126                11    91.27%         677                42    93.80%           0                 0         -
astraweave-llm\src\compression.rs                     654                 8    98.78%          39                 0   100.00%         389                 1    99.74%           0                 0         -
astraweave-llm\src\fallback_system.rs                1373               325    76.33%          89                 8    91.01%        1025               222    78.34%           0                 0         -
astraweave-llm\src\few_shot.rs                        437                 0   100.00%          28                 0   100.00%         225                 0   100.00%           0                 0         -
astraweave-llm\src\heuristics.rs                      697                24    96.56%          49                 0   100.00%         563                 9    98.40%           0                 0         -
astraweave-llm\src\lib.rs                            1682               121    92.81%         133                 7    94.74%        1151                62    94.61%           0                 0         -
astraweave-llm\src\llm_adapter.rs                      16                16     0.00%           2                 2     0.00%          13                13     0.00%           0                 0         -
astraweave-llm\src\plan_parser.rs                     898                79    91.20%          47                 2    95.74%         634                45    92.90%           0                 0         -
astraweave-llm\src\production_hardening.rs           1366               263    80.75%         102                12    88.24%        1034               232    77.56%           0                 0         -
astraweave-llm\src\prompt_template.rs                 256                 8    96.88%          17                 2    88.24%         292                 4    98.63%           0                 0         -
astraweave-llm\src\prompts.rs                         358                57    84.08%          24                 5    79.17%         235                29    87.66%           0                 0         -
astraweave-llm\src\rate_limiter.rs                    588                34    94.22%          64                 4    93.75%         510                46    90.98%           0                 0         -
astraweave-llm\src\retry.rs                           291                34    88.32%          33                 3    90.91%         228                26    88.60%           0                 0         -
astraweave-llm\src\scheduler.rs                       457                51    88.84%          40                 3    92.50%         318                27    91.51%           0                 0         -
astraweave-llm\src\schema.rs                          733                15    97.95%          54                 1    98.15%         406                 7    98.28%           0                 0         -
astraweave-llm\src\streaming_parser.rs                389                44    88.69%          23                 3    86.96%         229                21    90.83%           0                 0         -
astraweave-llm\src\telemetry.rs                       323                30    90.71%          25                 5    80.00%         196                19    90.31%           0                 0         -
astraweave-llm\src\tool_guard.rs                      679                23    96.61%          53                 1    98.11%         477                13    97.27%           0                 0         -
astraweave-observability\src\llm_telemetry.rs         615               573     6.83%          39                33    15.38%         566               523     7.60%           0                 0         -
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                               20352              4263    79.05%        1585               368    76.78%       14381              3079    78.59%           0                 0         -
