Filename                                           Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
astraweave-asset\src\lib.rs                           2329              2329     0.00%         130               130     0.00%        1271              1271     0.00%           0                 0         -
astraweave-asset\src\nanite_preprocess.rs                7                 7     0.00%           2                 2     0.00%           7                 7     0.00%           0                 0         -
astraweave-behavior\src\goap_cache.rs                    6                 6     0.00%           3                 3     0.00%           3                 3     0.00%           0                 0         -
astraweave-core\src\capture_replay.rs                   62                62     0.00%           4                 4     0.00%          35                35     0.00%           0                 0         -
astraweave-core\src\ecs_adapter.rs                      40                40     0.00%           3                 3     0.00%          34                34     0.00%           0                 0         -
astraweave-core\src\ecs_components.rs                   21                21     0.00%           3                 3     0.00%          13                13     0.00%           0                 0         -
astraweave-core\src\ecs_events.rs                       19                 8    57.89%           5                 2    60.00%          15                 6    60.00%           0                 0         -
astraweave-core\src\perception.rs                       26                26     0.00%           2                 2     0.00%          15                15     0.00%           0                 0         -
astraweave-core\src\sim.rs                               5                 5     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
astraweave-core\src\tool_vocabulary.rs                   2                 2     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
astraweave-core\src\validation.rs                      100                39    61.00%           3                 0   100.00%          74                35    52.70%           0                 0         -
astraweave-core\src\world.rs                           217               214     1.38%          29                28     3.45%         144               137     4.86%           0                 0         -
astraweave-ecs\src\archetype.rs                        250                67    73.20%          30                13    56.67%         163                49    69.94%           0                 0         -
astraweave-ecs\src\blob_vec.rs                         207               207     0.00%          16                16     0.00%         134               134     0.00%           0                 0         -
astraweave-ecs\src\command_buffer.rs                    27                27     0.00%           4                 4     0.00%          23                23     0.00%           0                 0         -
astraweave-ecs\src\entity_allocator.rs                 122                76    37.70%          23                14    39.13%         114                66    42.11%           0                 0         -
astraweave-ecs\src\events.rs                           119               119     0.00%          22                22     0.00%          90                90     0.00%           0                 0         -
astraweave-ecs\src\lib.rs                              404               189    53.22%          36                19    47.22%         271               136    49.82%           0                 0         -
astraweave-ecs\src\rng.rs                               35                35     0.00%           7                 7     0.00%          29                29     0.00%           0                 0         -
astraweave-ecs\src\sparse_set.rs                       240               181    24.58%          31                26    16.13%         154               117    24.03%           0                 0         -
astraweave-ecs\src\system_param.rs                     173                74    57.23%           8                 3    62.50%         133                53    60.15%           0                 0         -
astraweave-ecs\src\type_registry.rs                     80                73     8.75%           9                 7    22.22%          65                55    15.38%           0                 0         -
astraweave-gameplay\src\biome.rs                       143                 7    95.10%           8                 0   100.00%         101                 1    99.01%           0                 0         -
astraweave-gameplay\src\biome_spawn.rs                 258                15    94.19%          13                 0   100.00%         186                11    94.09%           0                 0         -
astraweave-gameplay\src\combat.rs                       82                31    62.20%           3                 0   100.00%          73                18    75.34%           0                 0         -
astraweave-gameplay\src\combat_physics.rs              367                32    91.28%           9                 0   100.00%         249                18    92.77%           0                 0         -
astraweave-gameplay\src\crafting.rs                    393                 1    99.75%          29                 0   100.00%         298                 1    99.66%           0                 0         -
astraweave-gameplay\src\cutscenes.rs                   271                 3    98.89%          12                 1    91.67%         180                 3    98.33%           0                 0         -
astraweave-gameplay\src\dialogue.rs                    546                26    95.24%          29                 0   100.00%         308                14    95.45%           0                 0         -
astraweave-gameplay\src\ecs.rs                         307                14    95.44%          13                 1    92.31%         192                 8    95.83%           0                 0         -
astraweave-gameplay\src\harvesting.rs                  137                15    89.05%          11                 0   100.00%          94                 2    97.87%           0                 0         -
astraweave-gameplay\src\items.rs                       395                11    97.22%          31                 0   100.00%         288                 4    98.61%           0                 0         -
astraweave-gameplay\src\quests.rs                      268                 8    97.01%          12                 0   100.00%         194                 6    96.91%           0                 0         -
astraweave-gameplay\src\stats.rs                       287                 0   100.00%          24                 0   100.00%         176                 0   100.00%           0                 0         -
astraweave-gameplay\src\tests.rs                       366                30    91.80%          10                 0   100.00%         307                11    96.42%           0                 0         -
astraweave-gameplay\src\veilweaver_slice.rs            782                15    98.08%          51                 0   100.00%         481                 3    99.38%           0                 0         -
astraweave-gameplay\src\veilweaver_tutorial.rs         652                21    96.78%          44                 0   100.00%         387                14    96.38%           0                 0         -
astraweave-gameplay\src\weave_portals.rs               407                10    97.54%          19                 0   100.00%         244                 0   100.00%           0                 0         -
astraweave-gameplay\src\weave_telemetry.rs              84                 9    89.29%           8                 0   100.00%          60                 1    98.33%           0                 0         -
astraweave-gameplay\src\weaving.rs                     488                71    85.45%          27                 3    88.89%         423                57    86.52%           0                 0         -
astraweave-nav\src\lib.rs                              419               344    17.90%          24                21    12.50%         250               200    20.00%           0                 0         -
astraweave-physics\src\destruction.rs                  404               404     0.00%          42                42     0.00%         355               355     0.00%           0                 0         -
astraweave-physics\src\environment.rs                  458               458     0.00%          41                41     0.00%         311               311     0.00%           0                 0         -
astraweave-physics\src\gravity.rs                      204               204     0.00%          26                26     0.00%         178               178     0.00%           0                 0         -
astraweave-physics\src\lib.rs                          846               700    17.26%          40                28    30.00%         551               437    20.69%           0                 0         -
astraweave-physics\src\projectile.rs                   118               118     0.00%          14                14     0.00%         114               114     0.00%           0                 0         -
astraweave-physics\src\vehicle.rs                      577               577     0.00%          51                51     0.00%         472               472     0.00%           0                 0         -
astraweave-scene\src\partitioned_scene.rs                2                 2     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
astraweave-scene\src\world_partition.rs                445               424     4.72%          45                40    11.11%         310               287     7.42%           0                 0         -
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                                14197              7357    48.18%        1009               579    42.62%        9574              4839    49.46%           0                 0         -
