Filename                                            Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
astraweave-asset\src\lib.rs                            2331              2331     0.00%         130               130     0.00%        1272              1272     0.00%           0                 0         -
astraweave-asset\src\nanite_preprocess.rs                 7                 7     0.00%           2                 2     0.00%           7                 7     0.00%           0                 0         -
astraweave-behavior\src\goap_cache.rs                     6                 6     0.00%           3                 3     0.00%           3                 3     0.00%           0                 0         -
astraweave-cinematics\src\lib.rs                         72                51    29.17%           5                 2    60.00%          61                44    27.87%           0                 0         -
astraweave-core\src\capture_replay.rs                    62                62     0.00%           4                 4     0.00%          35                35     0.00%           0                 0         -
astraweave-core\src\ecs_adapter.rs                        4                 4     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
astraweave-core\src\ecs_components.rs                    21                21     0.00%           3                 3     0.00%          13                13     0.00%           0                 0         -
astraweave-core\src\perception.rs                        26                26     0.00%           2                 2     0.00%          15                15     0.00%           0                 0         -
astraweave-core\src\sim.rs                                5                 5     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
astraweave-core\src\tool_vocabulary.rs                    2                 2     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
astraweave-core\src\world.rs                            217               217     0.00%          29                29     0.00%         144               144     0.00%           0                 0         -
astraweave-ecs\src\archetype.rs                         250               250     0.00%          30                30     0.00%         163               163     0.00%           0                 0         -
astraweave-ecs\src\blob_vec.rs                          207               207     0.00%          16                16     0.00%         134               134     0.00%           0                 0         -
astraweave-ecs\src\command_buffer.rs                     27                27     0.00%           4                 4     0.00%          23                23     0.00%           0                 0         -
astraweave-ecs\src\entity_allocator.rs                  122               122     0.00%          23                23     0.00%         114               114     0.00%           0                 0         -
astraweave-ecs\src\events.rs                            119               119     0.00%          22                22     0.00%          90                90     0.00%           0                 0         -
astraweave-ecs\src\lib.rs                               404               404     0.00%          36                36     0.00%         271               271     0.00%           0                 0         -
astraweave-ecs\src\rng.rs                                35                35     0.00%           7                 7     0.00%          29                29     0.00%           0                 0         -
astraweave-ecs\src\sparse_set.rs                        240               240     0.00%          31                31     0.00%         154               154     0.00%           0                 0         -
astraweave-ecs\src\system_param.rs                      173               173     0.00%           8                 8     0.00%         133               133     0.00%           0                 0         -
astraweave-ecs\src\type_registry.rs                      80                80     0.00%           9                 9     0.00%          65                65     0.00%           0                 0         -
astraweave-gameplay\src\biome_spawn.rs                   58                58     0.00%           1                 1     0.00%          38                38     0.00%           0                 0         -
astraweave-gameplay\src\dialogue.rs                       5                 5     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
astraweave-gameplay\src\items.rs                         36                36     0.00%           6                 6     0.00%          25                25     0.00%           0                 0         -
astraweave-gameplay\src\stats.rs                         13                13     0.00%           1                 1     0.00%          12                12     0.00%           0                 0         -
astraweave-gameplay\src\veilweaver_slice.rs             154               154     0.00%          13                13     0.00%         119               119     0.00%           0                 0         -
astraweave-gameplay\src\veilweaver_tutorial.rs           18                18     0.00%           6                 6     0.00%          15                15     0.00%           0                 0         -
astraweave-materials\src\lib.rs                         463               389    15.98%          23                15    34.78%         227               185    18.50%           0                 0         -
astraweave-physics\src\destruction.rs                   403               403     0.00%          42                42     0.00%         354               354     0.00%           0                 0         -
astraweave-physics\src\environment.rs                   456               456     0.00%          41                41     0.00%         310               310     0.00%           0                 0         -
astraweave-physics\src\gravity.rs                       204               204     0.00%          26                26     0.00%         178               178     0.00%           0                 0         -
astraweave-physics\src\lib.rs                           846               846     0.00%          40                40     0.00%         551               551     0.00%           0                 0         -
astraweave-physics\src\projectile.rs                    118               118     0.00%          14                14     0.00%         114               114     0.00%           0                 0         -
astraweave-physics\src\vehicle.rs                       577               577     0.00%          51                51     0.00%         472               472     0.00%           0                 0         -
astraweave-render\src\advanced_post.rs                  222                 2    99.10%           9                 0   100.00%         314                 2    99.36%           0                 0         -
astraweave-render\src\animation.rs                      286                83    70.98%          17                 1    94.12%         225                60    73.33%           0                 0         -
astraweave-render\src\camera.rs                         235                26    88.94%          16                 0   100.00%         186                17    90.86%           0                 0         -
astraweave-render\src\clustered.rs                      225                 4    98.22%           3                 0   100.00%         105                 4    96.19%           0                 0         -
astraweave-render\src\clustered_forward.rs              220                 2    99.09%          12                 0   100.00%         255                 0   100.00%           0                 0         -
astraweave-render\src\clustered_megalights.rs           190                 4    97.89%           3                 0   100.00%         375                 1    99.73%           0                 0         -
astraweave-render\src\culling.rs                        319               145    54.55%          21                15    28.57%         317               117    63.09%           0                 0         -
astraweave-render\src\culling_node.rs                     6                 6     0.00%           1                 1     0.00%           8                 8     0.00%           0                 0         -
astraweave-render\src\decals.rs                         130                30    76.92%          13                 5    61.54%         130                38    70.77%           0                 0         -
astraweave-render\src\deferred.rs                       201                36    82.09%           9                 5    44.44%         302                58    80.79%           0                 0         -
astraweave-render\src\depth.rs                           22                 0   100.00%           1                 0   100.00%          25                 0   100.00%           0                 0         -
astraweave-render\src\effects.rs                        115                41    64.35%          10                 4    60.00%          95                32    66.32%           0                 0         -
astraweave-render\src\environment.rs                    811               326    59.80%          50                17    66.00%         859               275    67.99%           0                 0         -
astraweave-render\src\gi\vxgi.rs                        136                13    90.44%           7                 4    42.86%         181                13    92.82%           0                 0         -
astraweave-render\src\gpu_memory.rs                       3                 3     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
astraweave-render\src\gpu_particles.rs                  118                 9    92.37%           4                 2    50.00%         172                 9    94.77%           0                 0         -
astraweave-render\src\graph.rs                           74                74     0.00%          13                13     0.00%          52                52     0.00%           0                 0         -
astraweave-render\src\ibl.rs                            671               206    69.30%          16                 9    43.75%         837               201    75.99%           0                 0         -
astraweave-render\src\instancing.rs                     241                 1    99.59%          36                 0   100.00%         221                 1    99.55%           0                 0         -
astraweave-render\src\lod_generator.rs                  361                25    93.07%          19                 3    84.21%         229                18    92.14%           0                 0         -
astraweave-render\src\material.rs                       363               141    61.16%          31                11    64.52%         355               103    70.99%           0                 0         -
astraweave-render\src\material_loader.rs                992               464    53.23%          38                20    47.37%         893               353    60.47%           0                 0         -
astraweave-render\src\mesh.rs                           133               133     0.00%           5                 5     0.00%          80                80     0.00%           0                 0         -
astraweave-render\src\mesh_gltf.rs                        4                 4     0.00%           3                 3     0.00%           3                 3     0.00%           0                 0         -
astraweave-render\src\mesh_registry.rs                    2                 2     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
astraweave-render\src\overlay.rs                         63                19    69.84%           3                 2    33.33%          76                 8    89.47%           0                 0         -
astraweave-render\src\primitives.rs                     179                 0   100.00%           3                 0   100.00%         132                 0   100.00%           0                 0         -
astraweave-render\src\renderer.rs                      2696               978    63.72%          76                37    51.32%        3116               855    72.56%           0                 0         -
astraweave-render\src\residency.rs                        2                 2     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
astraweave-render\src\shadow_csm.rs                     243                 6    97.53%           6                 1    83.33%         388                 5    98.71%           0                 0         -
astraweave-render\src\terrain.rs                        257               148    42.41%          14                10    28.57%         181               106    41.44%           0                 0         -
astraweave-render\src\texture.rs                        400               336    16.00%          19                14    26.32%         418               316    24.40%           0                 0         -
astraweave-render\src\texture_streaming.rs              235               196    16.60%          17                14    17.65%         161               124    22.98%           0                 0         -
astraweave-render\src\transparency.rs                     3                 3     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
astraweave-render\src\types.rs                           52                24    53.85%           6                 2    66.67%         172                24    86.05%           0                 0         -
astraweave-render\src\vertex_compression.rs             141               105    25.53%          12                10    16.67%          85                69    18.82%           0                 0         -
astraweave-render\src\water.rs                          177                26    85.31%           7                 2    71.43%         186                 9    95.16%           0                 0         -
astraweave-scene\src\lib.rs                               5                 5     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
astraweave-scene\src\partitioned_scene.rs                 2                 2     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
astraweave-scene\src\world_partition.rs                 445               445     0.00%          45                45     0.00%         310               310     0.00%           0                 0         -
astraweave-terrain\src\background_loader.rs               2                 2     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
astraweave-terrain\src\biome.rs                         252                74    70.63%          16                11    31.25%         373                93    75.07%           0                 0         -
astraweave-terrain\src\chunk.rs                         239               207    13.39%          28                20    28.57%         150               114    24.00%           0                 0         -
astraweave-terrain\src\climate.rs                       141                 3    97.87%          10                 1    90.00%         121                 3    97.52%           0                 0         -
astraweave-terrain\src\heightmap.rs                     351               143    59.26%          16                 8    50.00%         210                83    60.48%           0                 0         -
astraweave-terrain\src\lib.rs                           236               130    44.92%          12                 7    41.67%         145                74    48.97%           0                 0         -
astraweave-terrain\src\lod_blending.rs                  238               238     0.00%          16                16     0.00%         195               195     0.00%           0                 0         -
astraweave-terrain\src\lod_manager.rs                   280               280     0.00%          29                29     0.00%         234               234     0.00%           0                 0         -
astraweave-terrain\src\meshing.rs                       367               367     0.00%          24                24     0.00%         236               236     0.00%           0                 0         -
astraweave-terrain\src\noise_gen.rs                     131                61    53.44%           8                 4    50.00%         125                37    70.40%           0                 0         -
astraweave-terrain\src\noise_simd.rs                    134                71    47.01%           2                 1    50.00%          70                35    50.00%           0                 0         -
astraweave-terrain\src\scatter.rs                       319               319     0.00%          13                13     0.00%         221               221     0.00%           0                 0         -
astraweave-terrain\src\streaming_diagnostics.rs           6                 6     0.00%           3                 3     0.00%           3                 3     0.00%           0                 0         -
astraweave-terrain\src\structures.rs                    446               437     2.02%          20                18    10.00%         325               311     4.31%           0                 0         -
astraweave-terrain\src\terrain_modifier.rs                2                 2     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
astraweave-terrain\src\terrain_persistence.rs             7                 7     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
astraweave-terrain\src\voxel_data.rs                    359               359     0.00%          48                48     0.00%         238               238     0.00%           0                 0         -
tools\aw_asset_cli\src\texture_baker.rs                 517               489     5.42%          17                14    17.65%         315               298     5.40%           0                 0         -
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                                 22768             14936    34.40%        1452              1106    23.83%       19565             10547    46.09%           0                 0         -
