Filename                                           Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
astraweave-asset\src\lib.rs                           2179              2179     0.00%         125               125     0.00%        1209              1209     0.00%           0                 0         -
astraweave-asset\src\nanite_preprocess.rs                7                 7     0.00%           2                 2     0.00%           7                 7     0.00%           0                 0         -
astraweave-behavior\src\goap_cache.rs                    6                 6     0.00%           3                 3     0.00%           3                 3     0.00%           0                 0         -
astraweave-cinematics\src\lib.rs                        72                72     0.00%           5                 5     0.00%          61                61     0.00%           0                 0         -
astraweave-core\src\capture_replay.rs                   62                62     0.00%           4                 4     0.00%          35                35     0.00%           0                 0         -
astraweave-core\src\ecs_adapter.rs                       4                 4     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
astraweave-core\src\ecs_components.rs                   21                21     0.00%           3                 3     0.00%          13                13     0.00%           0                 0         -
astraweave-core\src\perception.rs                       26                26     0.00%           2                 2     0.00%          15                15     0.00%           0                 0         -
astraweave-core\src\sim.rs                               5                 5     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
astraweave-core\src\tool_vocabulary.rs                   2                 2     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
astraweave-core\src\world.rs                           217               217     0.00%          29                29     0.00%         144               144     0.00%           0                 0         -
astraweave-ecs\src\archetype.rs                        250               250     0.00%          30                30     0.00%         163               163     0.00%           0                 0         -
astraweave-ecs\src\blob_vec.rs                         207               207     0.00%          16                16     0.00%         134               134     0.00%           0                 0         -
astraweave-ecs\src\command_buffer.rs                    27                27     0.00%           4                 4     0.00%          23                23     0.00%           0                 0         -
astraweave-ecs\src\entity_allocator.rs                 122               122     0.00%          23                23     0.00%         114               114     0.00%           0                 0         -
astraweave-ecs\src\events.rs                           119               119     0.00%          22                22     0.00%          90                90     0.00%           0                 0         -
astraweave-ecs\src\lib.rs                              404               404     0.00%          36                36     0.00%         271               271     0.00%           0                 0         -
astraweave-ecs\src\rng.rs                               35                35     0.00%           7                 7     0.00%          29                29     0.00%           0                 0         -
astraweave-ecs\src\sparse_set.rs                       240               240     0.00%          31                31     0.00%         154               154     0.00%           0                 0         -
astraweave-ecs\src\system_param.rs                     173               173     0.00%           8                 8     0.00%         133               133     0.00%           0                 0         -
astraweave-ecs\src\type_registry.rs                     80                80     0.00%           9                 9     0.00%          65                65     0.00%           0                 0         -
astraweave-gameplay\src\crafting.rs                     50                50     0.00%           5                 5     0.00%          43                43     0.00%           0                 0         -
astraweave-gameplay\src\dialogue.rs                      5                 5     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
astraweave-gameplay\src\harvesting.rs                   23                23     0.00%           2                 2     0.00%          18                18     0.00%           0                 0         -
astraweave-gameplay\src\items.rs                        36                29    19.44%           6                 5    16.67%          25                19    24.00%           0                 0         -
astraweave-gameplay\src\quests.rs                       37                30    18.92%           3                 2    33.33%          24                21    12.50%           0                 0         -
astraweave-gameplay\src\stats.rs                        32                29     9.38%           4                 3    25.00%          34                24    29.41%           0                 0         -
astraweave-gameplay\src\veilweaver_slice.rs            154               154     0.00%          13                13     0.00%         119               119     0.00%           0                 0         -
astraweave-gameplay\src\veilweaver_tutorial.rs          18                18     0.00%           6                 6     0.00%          15                15     0.00%           0                 0         -
astraweave-physics\src\cloth.rs                        542               542     0.00%          33                33     0.00%         365               365     0.00%           0                 0         -
astraweave-physics\src\destruction.rs                  404               404     0.00%          42                42     0.00%         355               355     0.00%           0                 0         -
astraweave-physics\src\environment.rs                  458               458     0.00%          41                41     0.00%         311               311     0.00%           0                 0         -
astraweave-physics\src\gravity.rs                      204               204     0.00%          26                26     0.00%         178               178     0.00%           0                 0         -
astraweave-physics\src\lib.rs                          846               846     0.00%          40                40     0.00%         551               551     0.00%           0                 0         -
astraweave-physics\src\projectile.rs                   118               118     0.00%          14                14     0.00%         114               114     0.00%           0                 0         -
astraweave-physics\src\vehicle.rs                      577               577     0.00%          51                51     0.00%         472               472     0.00%           0                 0         -
astraweave-scene\src\partitioned_scene.rs                2                 2     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
astraweave-scene\src\world_partition.rs                445               445     0.00%          45                45     0.00%         310               310     0.00%           0                 0         -
astraweave-ui\src\accessibility.rs                     258                45    82.56%          24                 2    91.67%         168                24    85.71%           0                 0         -
astraweave-ui\src\gamepad.rs                           408                65    84.07%          38                 7    81.58%         311                40    87.14%           0                 0         -
astraweave-ui\src\hud.rs                              4180              1851    55.72%         249                59    76.31%        2818              1147    59.30%           0                 0         -
astraweave-ui\src\layer.rs                             179               119    33.52%          18                 8    55.56%         196               116    40.82%           0                 0         -
astraweave-ui\src\menu.rs                              332                28    91.57%          34                 2    94.12%         292                40    86.30%           0                 0         -
astraweave-ui\src\menus.rs                             752                48    93.62%          43                 2    95.35%         509                40    92.14%           0                 0         -
astraweave-ui\src\panels.rs                            497               160    67.81%          20                 1    95.00%         357               121    66.11%           0                 0         -
astraweave-ui\src\persistence.rs                       112                24    78.57%           7                 0   100.00%          67                 7    89.55%           0                 0         -
astraweave-ui\src\state.rs                              92                 0   100.00%           7                 0   100.00%          59                 0   100.00%           0                 0         -
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                                15019             10532    29.88%        1136               774    31.87%       10382              7121    31.41%           0                 0         -
