Found 373 mutants to test
ok       Unmutated baseline in 0s build + 1s test
 INFO Auto-set test timeout to 20s
MISSED   astraweave-materials/src/lib.rs:164:9: replace Graph::has_anisotropy -> bool with false in 2s build + 1s test
MISSED   astraweave-materials/src/lib.rs:169:9: replace Graph::has_transmission -> bool with false in 2s build + 1s test
MISSED   astraweave-materials/src/lib.rs:1017:9: replace MaterialPackage::wgsl_size -> usize with 1 in 2s build + 1s test
MISSED   astraweave-materials/src/lib.rs:1189:35: replace / with % in MaterialBaker::bake in 2s build + 1s test
MISSED   astraweave-materials/src/lib.rs:1189:35: replace / with * in MaterialBaker::bake in 2s build + 1s test
MISSED   astraweave-materials/src/lib.rs:1189:42: replace - with + in MaterialBaker::bake in 2s build + 1s test
MISSED   astraweave-materials/src/lib.rs:1189:42: replace - with / in MaterialBaker::bake in 2s build + 1s test
MISSED   astraweave-materials/src/lib.rs:1190:35: replace / with % in MaterialBaker::bake in 2s build + 1s test
MISSED   astraweave-materials/src/lib.rs:1190:35: replace / with * in MaterialBaker::bake in 2s build + 1s test
MISSED   astraweave-materials/src/lib.rs:1190:42: replace - with + in MaterialBaker::bake in 2s build + 1s test
MISSED   astraweave-materials/src/lib.rs:1190:42: replace - with / in MaterialBaker::bake in 3s build + 2s test
MISSED   astraweave-materials/src/lib.rs:1234:42: replace + with - in MaterialBaker::validate in 2s build + 1s test
MISSED   astraweave-materials/src/lib.rs:1234:32: replace + with - in MaterialBaker::validate in 2s build + 1s test
MISSED   astraweave-materials/src/lib.rs:1234:32: replace + with * in MaterialBaker::validate in 2s build + 1s test
MISSED   astraweave-materials/src/lib.rs:1234:27: replace * with + in MaterialBaker::validate in 2s build + 1s test
MISSED   astraweave-materials/src/lib.rs:1234:27: replace * with / in MaterialBaker::validate in 2s build + 2s test
MISSED   astraweave-materials/src/lib.rs:1234:37: replace * with + in MaterialBaker::validate in 3s build + 1s test
MISSED   astraweave-materials/src/lib.rs:1234:37: replace * with / in MaterialBaker::validate in 2s build + 1s test
