astraweave-gameplay/src/water_movement.rs:505:38: replace > with >= in WaterMovementHelper::calculate_water_forces
astraweave-gameplay/src/water_movement.rs:506:77: replace * with / in WaterMovementHelper::calculate_water_forces
astraweave-gameplay/src/water_movement.rs:536:9: replace WaterForces::total -> Vec3 with Default::default()
astraweave-gameplay/src/water_movement.rs:536:35: replace + with - in WaterForces::total
astraweave-gameplay/src/water_movement.rs:536:35: replace + with * in WaterForces::total
astraweave-gameplay/src/water_movement.rs:536:23: replace + with - in WaterForces::total
astraweave-gameplay/src/water_movement.rs:536:23: replace + with * in WaterForces::total
astraweave-gameplay/src/weaving.rs:35:36: replace - with + in apply_weave_op
astraweave-gameplay/src/weaving.rs:35:36: replace - with / in apply_weave_op
astraweave-gameplay/src/weaving.rs:36:36: replace - with + in apply_weave_op
astraweave-gameplay/src/weaving.rs:36:36: replace - with / in apply_weave_op
astraweave-gameplay/src/weaving.rs:37:36: replace + with - in apply_weave_op
astraweave-gameplay/src/weaving.rs:37:36: replace + with * in apply_weave_op
astraweave-gameplay/src/weaving.rs:38:36: replace + with - in apply_weave_op
astraweave-gameplay/src/weaving.rs:38:36: replace + with * in apply_weave_op
astraweave-gameplay/src/weaving.rs:65:67: replace - with + in apply_weave_op
astraweave-gameplay/src/weaving.rs:65:67: replace - with / in apply_weave_op
astraweave-gameplay/src/weaving.rs:65:44: replace + with - in apply_weave_op
astraweave-gameplay/src/weaving.rs:65:44: replace + with * in apply_weave_op
astraweave-gameplay/src/weaving.rs:96:8: delete ! in apply_weave_op
astraweave-gameplay/src/weave_portals.rs:25:18: replace < with > in build_portals
astraweave-gameplay/src/weave_portals.rs:25:18: replace < with <= in build_portals
astraweave-gameplay/src/weave_portals.rs:73:23: replace < with == in string_pull
astraweave-gameplay/src/weave_portals.rs:73:23: replace < with > in string_pull
astraweave-gameplay/src/weave_portals.rs:73:23: replace < with <= in string_pull
astraweave-gameplay/src/weave_portals.rs:91:53: replace || with && in string_pull
astraweave-gameplay/src/weave_portals.rs:91:31: replace && with || in string_pull
astraweave-gameplay/src/weave_portals.rs:91:25: replace == with != in string_pull
astraweave-gameplay/src/weave_portals.rs:91:46: replace == with != in string_pull
astraweave-gameplay/src/weave_portals.rs:91:74: replace && with || in string_pull
astraweave-gameplay/src/weave_portals.rs:91:68: replace == with != in string_pull
astraweave-gameplay/src/weave_portals.rs:91:89: replace == with != in string_pull
astraweave-gameplay/src/weave_portals.rs:101:13: replace < with == in string_pull
astraweave-gameplay/src/weave_portals.rs:101:13: replace < with > in string_pull
astraweave-gameplay/src/weave_portals.rs:105:49: replace >= with < in string_pull
astraweave-gameplay/src/weave_portals.rs:110:51: replace <= with > in string_pull
astraweave-gameplay/src/weave_portals.rs:116:46: replace < with == in string_pull
astraweave-gameplay/src/weave_portals.rs:116:46: replace < with > in string_pull
astraweave-gameplay/src/weave_portals.rs:116:46: replace < with <= in string_pull
astraweave-gameplay/src/weave_portals.rs:120:27: replace + with * in string_pull
