Found 211 mutants to test
ok       Unmutated baseline in 54s build + 1s test
MISSED   astraweave-physics/src/destruction.rs:371:9: replace Destructible::is_destroyed -> bool with true in 7s build + 2s test
MISSED   astraweave-physics/src/destruction.rs:504:9: replace DestructionManager::get_mut -> Option<&mut Destructible> with None in 7s build + 2s test
MISSED   astraweave-physics/src/destruction.rs:523:9: replace DestructionManager::on_collision with () in 7s build + 2s test
MISSED   astraweave-physics/src/destruction.rs:539:9: replace DestructionManager::get_debris -> Option<&Debris> with None in 7s build + 1s test
MISSED   astraweave-physics/src/destruction.rs:577:17: replace * with / in DestructionManager::spawn_debris in 7s build + 1s test
MISSED   astraweave-physics/src/destruction.rs:576:17: replace + with - in DestructionManager::spawn_debris in 7s build + 2s test
MISSED   astraweave-physics/src/destruction.rs:576:67: replace * with + in DestructionManager::spawn_debris in 30s build + 2s test
MISSED   astraweave-physics/src/destruction.rs:576:35: replace * with + in DestructionManager::spawn_debris in 7s build + 2s test
MISSED   astraweave-physics/src/destruction.rs:586:15: replace * with + in DestructionManager::spawn_debris in 6s build + 2s test
MISSED   astraweave-physics/src/destruction.rs:586:15: replace * with / in DestructionManager::spawn_debris in 7s build + 2s test
MISSED   astraweave-physics/src/destruction.rs:583:45: replace * with + in DestructionManager::spawn_debris in 7s build + 2s test
MISSED   astraweave-physics/src/destruction.rs:583:45: replace * with / in DestructionManager::spawn_debris in 7s build + 2s test
MISSED   astraweave-physics/src/destruction.rs:583:30: replace * with + in DestructionManager::spawn_debris in 7s build + 3s test
MISSED   astraweave-physics/src/destruction.rs:583:30: replace * with / in DestructionManager::spawn_debris in 7s build + 2s test
MISSED   astraweave-physics/src/destruction.rs:584:45: replace * with + in DestructionManager::spawn_debris in 7s build + 1s test
MISSED   astraweave-physics/src/destruction.rs:584:45: replace * with / in DestructionManager::spawn_debris in 6s build + 1s test
MISSED   astraweave-physics/src/destruction.rs:584:30: replace * with + in DestructionManager::spawn_debris in 6s build + 1s test
MISSED   astraweave-physics/src/destruction.rs:584:30: replace * with / in DestructionManager::spawn_debris in 6s build + 1s test
MISSED   astraweave-physics/src/destruction.rs:585:45: replace * with + in DestructionManager::spawn_debris in 7s build + 1s test
MISSED   astraweave-physics/src/destruction.rs:585:45: replace * with / in DestructionManager::spawn_debris in 7s build + 2s test
MISSED   astraweave-physics/src/destruction.rs:585:30: replace * with + in DestructionManager::spawn_debris in 7s build + 2s test
MISSED   astraweave-physics/src/destruction.rs:585:30: replace * with / in DestructionManager::spawn_debris in 6s build + 1s test
MISSED   astraweave-physics/src/cloth.rs:111:27: replace < with <= in DistanceConstraint::solve in 7s build + 2s test
MISSED   astraweave-physics/src/cloth.rs:116:45: replace * with / in DistanceConstraint::solve in 7s build + 2s test
MISSED   astraweave-physics/src/cloth.rs:122:25: replace > with >= in DistanceConstraint::solve in 7s build + 1s test
MISSED   astraweave-physics/src/cloth.rs:127:59: replace * with / in DistanceConstraint::solve in 7s build + 2s test
MISSED   astraweave-physics/src/cloth.rs:154:53: replace - with + in ClothCollider::resolve_collision in 7s build + 1s test
MISSED   astraweave-physics/src/cloth.rs:157:25: replace < with <= in ClothCollider::resolve_collision in 7s build + 1s test
MISSED   astraweave-physics/src/cloth.rs:165:48: replace - with + in ClothCollider::resolve_collision in 7s build + 1s test
MISSED   astraweave-physics/src/cloth.rs:167:43: replace - with + in ClothCollider::resolve_collision in 7s build + 1s test
MISSED   astraweave-physics/src/cloth.rs:167:57: replace + with - in ClothCollider::resolve_collision in 6s build + 1s test
MISSED   astraweave-physics/src/cloth.rs:171:32: replace - with + in ClothCollider::resolve_collision in 7s build + 2s test
211 mutants tested in 37m: 32 missed, 171 caught, 8 unviable
