"File","Line","Crate","RiskLevel","Context","Code"
"astraweave-ai\benches\ai_core_loop.rs","197","astraweave-ai","P0-Critical","let plan = dispatch_planner(black_box(&controller), black_box(&snapshot)).unwrap();","let plan = dispatch_planner(black_box(&controller), black_box(&snapshot)).unwrap();"
"astraweave-ai\benches\ai_core_loop.rs","213","astraweave-ai","P0-Critical","let plan = dispatch_planner(black_box(&controller), black_box(&snapshot)).unwrap();","let plan = dispatch_planner(black_box(&controller), black_box(&snapshot)).unwrap();"
"astraweave-ai\benches\ai_core_loop.rs","229","astraweave-ai","P0-Critical","let plan = dispatch_planner(black_box(&controller), black_box(&snapshot)).unwrap();","let plan = dispatch_planner(black_box(&controller), black_box(&snapshot)).unwrap();"
"astraweave-ai\benches\ai_core_loop.rs","245","astraweave-ai","P0-Critical","let plan = dispatch_planner(black_box(&controller), black_box(&snapshot)).unwrap();","let plan = dispatch_planner(black_box(&controller), black_box(&snapshot)).unwrap();"
"astraweave-ai\benches\ai_core_loop.rs","261","astraweave-ai","P0-Critical","let plan = dispatch_planner(black_box(&controller), black_box(&snapshot)).unwrap();","let plan = dispatch_planner(black_box(&controller), black_box(&snapshot)).unwrap();"
"astraweave-ai\benches\ai_core_loop.rs","277","astraweave-ai","P0-Critical","let plan = dispatch_planner(black_box(&controller), black_box(&snapshot)).unwrap();","let plan = dispatch_planner(black_box(&controller), black_box(&snapshot)).unwrap();"
"astraweave-ai\benches\ai_core_loop.rs","293","astraweave-ai","P0-Critical","dispatch_planner(&controller, &snapshot)","let plan = dispatch_planner(&controller, &snapshot).unwrap();"
"astraweave-ai\benches\arbiter_bench.rs","224","astraweave-ai","P0-Critical","tokio::runtime::Runtime::new()","let rt = tokio::runtime::Runtime::new().unwrap();"
"astraweave-ai\benches\arbiter_bench.rs","183","astraweave-ai","P0-Critical","tokio::runtime::Runtime::new()","let rt = tokio::runtime::Runtime::new().unwrap();"
"astraweave-ai\benches\arbiter_bench.rs","203","astraweave-ai","P0-Critical","tokio::runtime::Runtime::new()","let rt = tokio::runtime::Runtime::new().unwrap();"
"astraweave-ai\benches\arbiter_bench.rs","142","astraweave-ai","P0-Critical","tokio::runtime::Runtime::new()","let rt = tokio::runtime::Runtime::new().unwrap();"
"astraweave-ai\benches\arbiter_bench.rs","161","astraweave-ai","P0-Critical","tokio::runtime::Runtime::new()","let rt = tokio::runtime::Runtime::new().unwrap();"
"astraweave-ai\src\core_loop.rs","346","astraweave-ai","P0-Critical","result","let plan = result.unwrap();"
"astraweave-ai\src\core_loop.rs","380","astraweave-ai","P0-Critical","result","let plan = result.unwrap();"
"astraweave-ai\src\core_loop.rs","389","astraweave-ai","P0-Critical","snapshot_to_goap_state(&snapshot)","let state = snapshot_to_goap_state(&snapshot).unwrap();"
"astraweave-ai\src\llm_executor.rs","408","astraweave-ai","P0-Critical","tokio::runtime::Runtime::new()","let rt = tokio::runtime::Runtime::new().unwrap();"
"astraweave-ai\src\llm_executor.rs","431","astraweave-ai","P0-Critical","result","let plan = result.unwrap();"
"astraweave-asset\src\lib.rs","1170","astraweave-asset","P0-Critical","inputs.last()","let duration = *inputs.last().unwrap();"
"astraweave-asset\src\nanite_preprocess.rs","877","astraweave-asset","P0-Critical","generate_meshlets(&positions, &normals, &tangents, &uvs, &indices)","let meshlets = generate_meshlets(&positions, &normals, &tangents, &uvs, &indices).unwrap();"
"astraweave-asset\src\nanite_preprocess.rs","986","astraweave-asset","P0-Critical","ron::from_str(&serialized)","let deserialized: Meshlet = ron::from_str(&serialized).unwrap();"
"astraweave-asset\src\nanite_preprocess.rs","985","astraweave-asset","P0-Critical","ron::ser::to_string(&meshlet)","let serialized = ron::ser::to_string(&meshlet).unwrap();"
"astraweave-asset\src\nanite_preprocess.rs","929","astraweave-asset","P0-Critical","generate_lod_hierarchy(&positions, &normals, &tangents, &uvs, &indices, 3)","generate_lod_hierarchy(&positions, &normals, &tangents, &uvs, &indices, 3).unwrap();"
"astraweave-asset\src\nanite_preprocess.rs","832","astraweave-asset","P0-Critical","generate_meshlets(&positions, &normals, &tangents, &uvs, &indices)","let meshlets = generate_meshlets(&positions, &normals, &tangents, &uvs, &indices).unwrap();"
"astraweave-behavior\src\goap.rs","441","astraweave-behavior","P0-Critical","planner.plan(&current_state, &goal, &actions)","let plan3 = planner.plan(&current_state, &goal, &actions).unwrap();"
"astraweave-behavior\src\goap.rs","440","astraweave-behavior","P0-Critical","planner.plan(&current_state, &goal, &actions)","let plan2 = planner.plan(&current_state, &goal, &actions).unwrap();"
"astraweave-behavior\src\goap.rs","439","astraweave-behavior","P0-Critical","planner.plan(&current_state, &goal, &actions)","let plan1 = planner.plan(&current_state, &goal, &actions).unwrap();"
"astraweave-behavior\src\goap.rs","414","astraweave-behavior","P0-Critical","planner.plan(&current_state, &goal, &actions)","let plan = planner.plan(&current_state, &goal, &actions).unwrap();"
"astraweave-behavior\src\goap.rs","387","astraweave-behavior","P0-Critical","planner.plan(&current_state, &goal, &actions)","let plan = planner.plan(&current_state, &goal, &actions).unwrap();"
"astraweave-behavior\src\goap.rs","475","astraweave-behavior","P0-Critical","planner.plan(&current_state, &goal, &[])","let plan = planner.plan(&current_state, &goal, &[]).unwrap();"
