Found 136 mutants to test
ok       Unmutated baseline in 1s build + 14s test
 INFO Auto-set test timeout to 57s
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:214:9: replace <impl std::fmt::Debug for SliceOrchestrator>::fmt -> std::fmt::Result with Ok(Default::default()) in 38s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:333:17: delete match arm GameLoopEvent::StormDecisionMade{choice} in SliceOrchestrator::process_game_events in 34s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:336:17: delete match arm GameLoopEvent::StormResolved{choice} in SliceOrchestrator::process_game_events in 20s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:357:9: replace SliceOrchestrator::process_combat_events with () in 21s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:359:17: delete match arm CombatEvent::EnemyDefeated{remaining, ..} in SliceOrchestrator::process_combat_events in 21s build + 6s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:362:17: delete match arm CombatEvent::EncounterCleared{encounter_id} in SliceOrchestrator::process_combat_events in 20s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:376:17: delete match arm CombatEvent::PlayerDamaged{amount, ..} in SliceOrchestrator::feed_combat_telemetry in 20s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:384:17: delete match arm CombatEvent::ComboLanded{..} in SliceOrchestrator::feed_combat_telemetry in 20s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:431:17: delete match arm CombatEvent::EncounterCleared{..} in SliceOrchestrator::sync_hud_from_combat_events in 39s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:435:17: delete match arm CombatEvent::PlayerDamaged{..} in SliceOrchestrator::sync_hud_from_combat_events in 21s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:428:60: replace * with + in SliceOrchestrator::sync_hud_from_combat_events in 20s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:449:17: delete match arm WalkthroughEvent::EchoCollected{amount, total} in SliceOrchestrator::sync_hud_from_walkthrough_events in 21s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:457:17: delete match arm WalkthroughEvent::AnchorRepaired{anchor_id, total_repaired,} in SliceOrchestrator::sync_hud_from_walkthrough_events in 21s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:500:17: delete match arm WalkthroughEvent::PlayerDamaged{new_hp, ..} in SliceOrchestrator::sync_hud_from_walkthrough_events in 20s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:506:17: delete match arm WalkthroughEvent::RunComplete{..} in SliceOrchestrator::sync_hud_from_walkthrough_events in 20s build + 7s test
